"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13305","TWC1021","F","Y","N","0-2135","None","21520.0","149.87","N","N","GPS","Vectronics","GPS Plus Vertex Survey","Globalstar","43481.0","2019.0","1.0","9.0","696677.0","5937025.0","","Alive","Deployed","Active","","","","","","","","43774.833761574075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0","46.0","29.0","52.0","49.0","49.0","31.0","21.0","7.0","9.0","1.0","","","","Mortality file 9-Jan-19 -",".  This animal is still active. ","New unknown animal, collecting telemetry data after Mortality date of 16-8928 (CID 683). Telemetry data gap btw May 2018 to Jan 2019?","1174.0"
"Skeena","Conrad Thiessen","","","","Caribou","Northern Mountain","Carcross","","18-13290","SKRATACC0001","F","OA","N","None","NR","81349.0","151.01","N","N","GPS","Lotek","Litetrack Iridium 360","Iridium","43529.0","2019.0","3.0","8.0","529077.0","6690903.0","","Unknown","Deployed","","","","","","","","","43667.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0","53.0","187.0","172.0","102.0","","","","","","","","Spatial review - near Carcross 28/04/2019, getting ready to deploy? Several email alerts and mortality files received Feb to May, 2019.",".  ","New animal (old CID 235). Telemetry data gap btw Nov 2018 and Feb 2019.","1175.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13304","TWC1040","F","A","Y","None","0-1065","81259.0","149.005","N","N","GPS","Lotek","Litetrack Iridium 360","Iridium","43501.0","2019.0","2.0","9.0","350225.0","5907389.0","","Alive","Deployed","Active","","","","","","","","43880.583738426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0","36.0","36.0","151.0","150.0","67.0","50.0","46.0","52.0","34.0","46.0","31.0","15.0","Email alert 03-Jan-19, mortality file Jan 9, 2019",".  ","","6.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13306","TWC1039","F","SA","N","0-1560","None","81260.0","149.015","N","N","GPS","Lotek","Litetrack Iridium 360","Iridium","43483.0","2019.0","1.0","9.0","687898.0","5943523.0","","Alive","Deployed","Potential Mortality","","","","","","","","43879.584108796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0","30.0","44.0","34.0","133.0","169.0","120.0","59.0","57.0","54.0","53.0","39.0","39.0","15.0","Email alert 03-Jan-19, mortality file Jan 9, 2019",".  ","","7.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13307","TWC1022","F","A","N","None","0-1447","81261.0","149.025","N","N","GPS","Lotek","Lifecycle","Iridium","43484.0","2019.0","1.0","9.0","655228.0","5900219.0","","Alive","Deployed","Active","","","","","","","","43784.583738426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0","30.0","54.0","58.0","184.0","168.0","109.0","46.0","44.0","50.0","19.0","","","","Email alert 31-Dec-18, 04-Jan-19, and mortality file Jan 9, 2019",".  ","","8.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13308","TWC1023","F","A","N","0-1623","None","81262.0","149.035","N","N","GPS","Lotek","Lifecycle","Iridium","43482.0","2019.0","1.0","9.0","347594.0","5902034.0","","Alive","Deployed","Active","","","","","","","","43880.583055556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0","35.0","38.0","37.0","149.0","122.0","67.0","32.0","41.0","52.0","50.0","55.0","38.0","25.0","Email alert Dec  22/26, 2019, 04-Jan-19, and mortality file Jan 9, 2019.",".  ","","9.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13862","TWC1018","F","A","N","None","0-244","81263.0","149.045","N","N","GPS","Lotek","Lifecycle","Iridium","43483.0","2019.0","1.0","9.0","696574.0","5937014.0","","Alive","Deployed","Active","","","","","","","","43880.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0","39.0","35.0","38.0","83.0","176.0","114.0","53.0","56.0","60.0","44.0","52.0","48.0","30.0","",".  ","","10.0"
"Skeena","Conrad Thiessen","","","","Caribou","Northern Mountain","Atlin","","17-10847","SKRATAAT0015","","","","","","81264.0","149.055","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43169.0","2018.0","3.0","8.0","580978.0","6628680.0","","Alive","Deployed","Active","","","","","","","","43869.584027778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0","47.0","174.0","180.0","119.0","58.0","59.0","58.0","38.0","40.0","52.0","43.0","56.0","50.0","182.0","167.0","113.0","60.0","59.0","61.0","55.0","62.0","42.0","16.0","",".  ","","11.0"
"Skeena","Conrad Thiessen","","","","Caribou","Northern Mountain","Atlin","","17-10852","SKRATAAT0023","","","","","","81265.0","149.065","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43171.0","2018.0","3.0","8.0","598554.0","6644771.0","","Alive","Deployed","Active","","","","","","","","43860.584131944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0","48.0","137.0","173.0","120.0","62.0","61.0","60.0","60.0","57.0","57.0","53.0","53.0","45.0","149.0","172.0","119.0","59.0","60.0","53.0","55.0","57.0","57.0","","",".  ","","12.0"
"Skeena","Conrad Thiessen","","","","Caribou","Northern Mountain","Atlin","","17-10831","SKRATAAT0003","","","","","","81266.0","149.075","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43173.0","2018.0","3.0","8.0","582037.0","6629627.0","","Unknown","Deployed","Potential Malfunction","","","","","","","","43284.500381944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0","45.0","178.0","169.0","14.0","","","","","","","","","","","","","","","","","","","","",".  ","20190829: Spatial check. First field location 14-Mar-18 (in Atlin Mar 10-13, 2018).","13.0"
