"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10739","17-10739","F","","","","","81294.0","150.22","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43162.0","2018.0","3.0","10.0","550306.0","6078467.0","","Alive","Deployed","Active","","","","","","","","43879.583726852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0","47.0","156.0","133.0","54.0","37.0","8.0","31.0","44.0","48.0","52.0","51.0","53.0","49.0","151.0","147.0","87.0","40.0","25.0","34.0","37.0","56.0","52.0","31.0","",".  No status field provided.  ","","43.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10716","17-10716","F","","","","","81286.0","150.01","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43159.0","2018.0","2.0","10.0","599418.0","6000387.0","","Mortality","Deployed","Mortality","","","","","","","","43299.583923611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","57.0","131.0","147.0","55.0","","","","","","","","","","","","","","","","","","","","",".  No status field provided.  ","","179.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","North Cariboo","","17-10700","17-10700","F","","","","","81324.0","150.67","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43163.0","2018.0","3.0","10.0","597492.0","5956715.0","","Alive","Deployed","Active","","","","","","","","43880.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0","47.0","114.0","131.0","71.0","33.0","22.0","27.0","50.0","55.0","47.0","45.0","47.0","41.0","118.0","108.0","61.0","34.0","17.0","21.0","35.0","42.0","42.0","26.0","",".  No status field provided.  ","","279.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-north group","Wolverine","","16-8915","","F","","","","","40881.0","148.24","N","N","GPS","Lotek","Lifecycle Pro 500","Globalstar","42774.0","2017.0","2.0","","","","","Alive","Deployed","Potential Malfunction","","","","","","","","43268.12525463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","15.0","23.0","23.0","11.0","13.0","8.0","17.0","24.0","35.0","45.0","39.0","40.0","32.0","20.0","9.0","2.0","","","","","","","","","","","","","","","","","","","","","","","20190829: Spatial check. Deployed in field 04/02/2017 from Prince George. Device last active in field 17/06/2018.","557.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","18-13114","None ","F","OA","Y","None","0-1379","81361.0","151.31","N","N","GPS","Lotek","Iridium","Iridium","43499.0","2019.0","2.0","10.0","625206.0","5984533.0","","Alive","Unknown","","","","","","","","","43856.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0","33.0","53.0","174.0","148.0","84.0","","","","","","30.0","","",".  ","New animal (old CID 64). Telemetry data gap btw Oct 2018 and Feb 2019.","1176.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10708","17-10708","F","","","","","81330.0","150.75","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43165.0","2018.0","3.0","10.0","613915.0","5984456.0","","Alive","Deployed","Active","","","","","","","","43879.584074074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0","55.0","157.0","127.0","72.0","29.0","30.0","32.0","37.0","46.0","45.0","47.0","47.0","45.0","175.0","148.0","89.0","37.0","29.0","25.0","21.0","45.0","52.0","26.0","",".  No status field provided.  ","","47.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10732","17-10732","F","","","","","81331.0","150.76","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43158.0","2018.0","2.0","10.0","596080.0","5999516.0","","Alive","Deployed","Active","","","","","","","","43851.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","56.0","57.0","99.0","133.0","65.0","24.0","30.0","35.0","41.0","40.0","48.0","42.0","45.0","30.0","114.0","101.0","58.0","32.0","24.0","29.0","27.0","","3.0","","",".  No status field provided.  ","","48.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","North Cariboo","","17-10671","17-10671","F","","","","","81295.0","150.24","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43162.0","2018.0","3.0","10.0","619362.0","5930428.0","","Alive","Deployed","Active","","","","","","","","43879.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0","30.0","84.0","99.0","78.0","30.0","30.0","30.0","40.0","40.0","44.0","37.0","42.0","35.0","114.0","94.0","62.0","14.0","9.0","28.0","32.0","36.0","46.0","30.0","",".  No status field provided.  ","","50.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","North Cariboo","","17-10724","17-10724","F","","","","","81296.0","150.27","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43163.0","2018.0","3.0","10.0","623408.0","5930332.0","","Alive","Deployed","Potential Malfunction","","","","","","","","43470.084131944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0","44.0","110.0","127.0","68.0","26.0","21.0","25.0","34.0","46.0","5.0","","","","","","","","","","","","","","",".  No status field provided.  ","","54.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10691","17-10691","F","","","","","81297.0","150.28","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43161.0","2018.0","3.0","10.0","589553.0","6034275.0","","Alive","Deployed","Active","","","","","","","","43570.083518519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0","37.0","99.0","76.0","76.0","42.0","30.0","30.0","39.0","49.0","47.0","48.0","54.0","20.0","","","","","","","","","","","",".  No status field provided.  ","","56.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10710","17-10710","F","","","","","81361.0","151.31","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43164.0","2018.0","3.0","10.0","559990.0","6076288.0","","Mortality","Deployed","Mortality","","","","","","","","43399.334016204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0","52.0","179.0","169.0","103.0","42.0","38.0","44.0","","","","","","","","","","","","","","","","","Spatial review, collar in Mackenzie 26/10/2018. Email alert  Oct 24, 26, 2018, and mortality file Oct 25, 2018.",".  No status field provided.  ","Added new unknown animal (CID 1176). Telemetry data gap btw Oct 2018 and Feb 2019. Potential mortality.","64.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10711","17-10711","F","","","","","81362.0","151.33","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43165.0","2018.0","3.0","10.0","613836.0","5984266.0","","Alive","Deployed","Active","","","","","","","","43879.583993056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0","53.0","137.0","150.0","104.0","46.0","39.0","42.0","47.0","53.0","56.0","51.0","47.0","49.0","128.0","166.0","102.0","35.0","23.0","28.0","42.0","41.0","49.0","30.0","",".  No status field provided.  ","","67.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","North Cariboo","","17-10680","17-10680","F","","","","","81363.0","151.34","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43162.0","2018.0","3.0","10.0","619362.0","5930428.0","","Alive","Deployed","Potential Malfunction","","","","","","","","43482.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","46.0","125.0","145.0","74.0","29.0","31.0","31.0","37.0","52.0","25.0","","","","","","","","","","","","","","",".  No status field provided.  ","","68.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","18-13119","C50160AZ","F","A","N","None","0-1717","81292.0","150.16","N","N","GPS","Lotek","Iridium","Iridium","43494.0","2019.0","1.0","10.0","555570.0","6074450.0","","Alive","Deployed","Active","","","","","","","","43876.584166667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","43.0","58.0","30.0","114.0","125.0","75.0","23.0","22.0","26.0","37.0","47.0","35.0","23.0","Email alert 03-Jan-19, mortality file Jan 9, 2019",".  ","","29.0"
"Omineca","Mike Klaczek","","","","Caribou","Northern Mountain","Finlay","","18-11435","18-11435","F","","","","","81326.0","150.69","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43172.0","2018.0","3.0","10.0","407130.0","6345723.0","","Alive","Deployed","Active","","","","","","","","43679.583946759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","34.0","123.0","173.0","117.0","52.0","55.0","61.0","35.0","58.0","51.0","45.0","43.0","30.0","135.0","169.0","118.0","4.0","","","","","","","",".  No status field provided.  ","20190227 - Verify PopUnit","100.0"
