"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Central Selkirks","","99-0004","22563","F","","","","","22563.0","148.94","N","N","GPS","Vectronics","Vertex Plus","","42811.0","2017.0","3.0","11.0","449877.0","5578439.0","","Alive","Deployed","Active","","","","","","","","43872.41892361111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","11.0","17.0","25.0","20.0","","15.0","21.0","25.0","24.0","24.0","2.0","21.0","","7.0","24.0","12.0","14.0","5.0","17.0","23.0","28.0","21.0","20.0","4.0","3.0","12.0","10.0","2.0","","","19.0","13.0","19.0","28.0","8.0","",".  ","","1.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Central Selkirks","","99-0003","22562","F","","","","","22562.0","148.88","N","N","GPS","Vectronics","Vertex Plus","","42811.0","2017.0","3.0","11.0","460772.0","5606549.0","","Alive","Deployed","Potential Malfunction","","","","","","","","43878.501064814816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","24.0","22.0","26.0","27.0","24.0","17.0","21.0","24.0","24.0","1.0","","","","","","","","2.0","12.0","18.0","28.0","27.0","27.0","14.0","24.0","20.0","17.0","21.0","10.0","16.0","16.0","18.0","16.0","25.0","15.0","",".  ","Added new unknown animal (CID 1167). Telemetry data gap btw Jan 2018 and Sept 2018.","18.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","South Selkirks","","17-10521","30241","F","","","","","30241.0","148.896","N","N","GPS","Vectronics","Vertex Plus-2 Iridium","Iridium","43199.0","2018.0","4.0","11.0","517569.0","5451053.0","","Unknown","Deployed","Malfunction","","","43206.0","","","","","43205.625451388885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","Mortality file 9-Jan-19. No data?","Malfunctioned soon after deployment","Only 3 telemetry points Apr 13, 14, 15, 2018.","21.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Purcells South","","17-10528","31258","M","","","","","31258.0","151.503","N","N","GPS","Vectronics","Survey -2D Iriduim","","43217.0","2018.0","4.0","11.0","555288.0","5491207.0","","Alive","Retrieved","","","","","43479.0","","","","43478.75096064815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","122.0","119.0","124.0","121.0","120.0","121.0","120.0","124.0","52.0","","","","","","","","","","","","","","Mortality file 9-Jan-19, 30-Jan-19.",".  ","WLH ID 17-10528 now has Device ID 15035.","91.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Purcells South","","17-10522 ","22566","M","","","","","22566.0","150.72","N","N","GPS","Vectronics","Vertex Plus","","43217.0","2018.0","4.0","11.0","555288.0","5491207.0","","Alive","Deployed","Malfunction","","","","","","","","43878.50069444445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","26.0","21.0","20.0","19.0","15.0","16.0","22.0","3.0","","","","","3.0","20.0","15.0","13.0","17.0","19.0","20.0","24.0","26.0","11.0","",".  ","20190227 - Potential Malfunction, need feedback (ND)","106.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","South Selkirks","","17-10523","30242","F","","","","","30242.0","148.926","N","N","GPS","Vectronics","Vertex Plus-2 Iridium","Iridium","43199.0","2018.0","4.0","11.0","517569.0","5451053.0","","Alive","Retrieved","","","","","43479.0","","","","43478.70912037037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0","123.0","111.0","112.0","118.0","92.0","38.0","38.0","88.0","51.0","","","","","","","","","","","","","","Mortality files Jan 9/18, Mar 20, Apr 1, 2019.",".  ","","112.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","South Selkirks","","99-xxxx","15030","F","","","","","15030.0","148.94","N","N","GPS","Vectronics","Vertex Plus-2 Iridium","Iridium","41716.0","2014.0","3.0","11.0","505180.0","5445340.0","","Unknown","Retrieved","","","","","43199.0","","","","43197.54306712963","12.0","26.0","20.0","19.0","19.0","18.0","13.0","12.0","21.0","21.0","26.0","27.0","26.0","23.0","21.0","16.0","14.0","13.0","14.0","13.0","23.0","27.0","31.0","24.0","29.0","27.0","21.0","23.0","16.0","17.0","15.0","11.0","19.0","24.0","31.0","21.0","27.0","20.0","27.0","26.0","17.0","7.0","19.0","17.0","21.0","22.0","22.0","22.0","26.0","4.0","","","","","","","","","","","","","","","","","","","","","","","",".  need to assign a historic WLHID.  15030 was removed from caribou on Apr 9 2018; the collar has not been re-deployed yet.  This animal is one of the 3 cows that was collared on Apr 9-2018 that no one recorded the WLH ID for the animals and did not recor","20190829: Spatial check. Collar retrieval date originally 09/04/2019 (should be 2018). Collar in Edgewater after 03/06/2018, collar still transmitting.","114.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Central Selkirks","","99-0006","22565","M","","","","","22565.0","150.58","N","N","GPS","Vectronics","Vertex Plus","","42811.0","2017.0","3.0","11.0","449689.0","5577748.0","","Alive","Deployed","Active","","","","","","","","43681.606944444444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","26.0","17.0","16.0","21.0","14.0","17.0","16.0","14.0","23.0","27.0","26.0","29.0","25.0","16.0","17.0","15.0","11.0","8.0","13.0","17.0","20.0","23.0","22.0","24.0","13.0","4.0","","","1.0","","","","","","","",".  ","","261.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Central Selkirks","","99-0005","22564","F","","","","","22564.0","150.06","N","N","GPS","Vectronics","Vertex Plus","","42811.0","2017.0","3.0","11.0","481742.0","5599294.0","","Alive","Deployed","Active","","","","","","","","43879.500625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","28.0","28.0","21.0","28.0","15.0","19.0","25.0","25.0","24.0","30.0","28.0","28.0","29.0","20.0","15.0","22.0","15.0","15.0","13.0","12.0","22.0","23.0","22.0","29.0","26.0","21.0","23.0","17.0","12.0","19.0","14.0","21.0","22.0","25.0","15.0","",".  ","","298.0"
"Kootenay","Aaron Reid","","","","Caribou","Southern Mountain-south group","Central Selkirks","","99-0007","22567","F","","","","","22567.0","150.87","N","N","GPS","Vectronics","Vertex Plus","","42811.0","2017.0","3.0","11.0","450472.0","5578517.0","","Mortality","Retrieved","Mortality","","43654.0","","43656.0","","","","43653.54278935185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","25.0","17.0","20.0","23.0","22.0","23.0","18.0","21.0","20.0","23.0","22.0","25.0","26.0","10.0","20.0","21.0","21.0","22.0","14.0","18.0","22.0","26.0","23.0","21.0","15.0","16.0","23.0","3.0","","","","","","","","POTENTIAL MORTALITY - Mortality file June 12, 2019",".  ","20190829: Spatial review. Mortality start pattern in field 08/07/2019. Retrieved 10/07/2019, eventually sent to Nelson.","381.0"
