Region,Regional Contact,Regional Review,Regional Contact Comments,Project,Species,Caribou Ecotype,Caribou Population Unit,Management Area,WLH ID,Animal ID,Sex,Life Stage,Calf at Heel,Ear Tag Right,Ear Tag Left,Device ID,Radio Frequency,Re-capture,Trans-location,Collar Type,Collar Make,Collar Model,Satellite Network,Capture Date,Capture Date Year,Capture Date Month,Capture UTM Zone,Capture UTM Easting,Capture UTM Northing,Release Date,Animal Status,Collar Status,Collar Status Details,Deactivated?,Mortality Date,Malfunction Date,Retreival Date,Mortality UTM Zone,Mortality UTM Easting,Mortality UTM Northing,Max Transmission Date,2014/3,2014/4,2014/5,2014/6,2014/7,2014/8,2014/9,2014/10,2014/11,2014/12,2015/1,2015/2,2015/3,2015/4,2015/5,2015/6,2015/7,2015/8,2015/9,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/1,2019/2,2019/3,2019/4,2019/5,2019/6,2019/7,2019/8,2019/9,2019/10,2019/11,2019/12,2020/01,2020/02,Mortality Review,Comments,Database Notes,CID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101742,,N,N,GPS,Lotek,,,,,,,,,,,Not Deployed,,,,,,,,,43151.38122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101743,,N,N,GPS,Lotek,,,,,,,,,,,Not Deployed,,,,,,,,,43433.37539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31,30,16,10,5,7,4,2,2,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101744,,N,N,GPS,Lotek,,,,,,,,,,,Not Deployed,,,,,,,,,43872.66708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,32,36,18,9,8,11,17,24,20,31,24,20,22,21,19,12,12,12,17,16,13,26,18,8,Email alert Dec 15 19 2018.,Collar is transmitting data - deployed?,Need animal info (SPECIES),957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101745,,N,N,GPS,Lotek,,,,,,,,,,,Not Deployed,,,,,,,,,43261.66742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,19,5,2,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81205,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43176.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81206,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.79174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81207,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.45997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81208,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.41672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81209,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.50038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81210,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.66709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81211,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43173.59389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81212,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.79201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81213,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.08399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,81214,,N,N,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,43174.5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,Need animal info (SPECIES),1034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101728,,,,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101729,,,,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101730,,,,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101731,,,,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Unknown,,,,,,,,,,,101732,,,,GPS,Lotek,,,,,,,,,,Unknown,Not Deployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573
