    Device Name, Device ID,     Date & Time [GMT],   Date & Time [Local],    Latitude,   Longitude,  Altitude,  Fix Status,  DOP, Temp [C], Main [V], Back [V]
               ,81267,43152.08414,43152.08414,0,0,0,     No Sats,0,21.5,0,0
               ,81267,43165.46534,43165.46534,54.7726858,-127.1594494,499.316,      Unkown,1.6,-15,0,0
               ,81267,43165.58372,43165.58372,54.7727467,-127.1593325,485.962,      Unkown,1.2,-18,0,0
               ,81267,43166.08372,43166.08372,54.7779906,-127.1726281,492.416,      Unkown,3.4,-5,0,0
               ,81267,43166.58374,43166.58374,54.7780161,-127.1726161,486.733,      Unkown,1.8,-19,0,0
               ,81267,43167.08372,43167.08372,54.7729361,-127.1592,489.423,      Unkown,1,14,0,0
               ,81267,43167.58383,43167.58383,54.7728958,-127.1592214,491.379,      Unkown,3.2,-13.5,0,0
               ,81267,43168.08414,43168.08414,0,0,0,     No Sats,0,1,0,0
               ,81267,43168.58395,43168.58395,58.4333375,-130.0133047,792.628,      Unkown,7.6,-14.5,0,0
               ,81267,43169.08406,43169.08406,59.5749606,-133.7070722,675.284,      Unkown,2.8,-0.5,0,0
               ,81267,43169.58407,43169.58407,59.5749297,-133.7068839,665.708,      Unkown,1,18.5,0,0
               ,81267,43170.08414,43170.08414,0,0,0,     No Sats,0,-0.5,0,0
               ,81267,43170.58372,43170.58372,59.7768217,-133.5159278,1167.688,      Unkown,3.2,-2.5,0,0
               ,81267,43171.08413,43171.08413,59.7754939,-133.5137022,1250.402,      Unkown,4.8,0,0,0
               ,81267,43171.58374,43171.58374,59.7755367,-133.5137017,1255.739,      Unkown,2.2,0,0,0
               ,81267,43172.08374,43172.08374,59.7764481,-133.5158208,1178.049,      Unkown,2.2,6,0,0
               ,81267,43172.58392,43172.58392,59.7761392,-133.5156236,1191.168,      Unkown,2.6,3.5,0,0
               ,81267,43173.08373,43173.08373,59.8088883,-133.4668178,1324.149,      Unkown,7.6,5,0,0
               ,81267,43173.58374,43173.58374,59.8078178,-133.4675953,1261.666,      Unkown,1,-1,0,0
               ,81267,43174.08375,43174.08375,59.8136569,-133.4738706,1112.22,      Unkown,2.2,6.5,0,0
               ,81267,43174.58373,43174.58373,59.8106042,-133.4693061,1203.662,      Unkown,2.4,-1.5,0,0
               ,81267,43175.08412,43175.08412,59.8154067,-133.4753431,10.852,      Unkown,4,1.5,0,0
               ,81267,43175.58372,43175.58372,59.8208628,-133.4784536,1201.657,      Unkown,1,-5,0,0
               ,81267,43176.08372,43176.08372,59.8446853,-133.5173567,932.213,      Unkown,2,8,0,0
               ,81267,43176.58392,43176.58392,59.8408169,-133.5174047,942.088,      Unkown,3.4,-8.5,0,0
               ,81267,43177.08414,43177.08414,0,0,0,     No Sats,0,5.5,0,0
               ,81267,43177.58373,43177.58373,59.8670192,-133.5317997,1198.478,      Unkown,1,-0.5,0,0
               ,81267,43178.08372,43178.08372,59.8680642,-133.5329453,1221.082,      Unkown,1.2,0,0,0
               ,81267,43178.58374,43178.58374,59.8697778,-133.5330114,1232.821,      Unkown,1.8,-1.5,0,0
               ,81267,43179.08406,43179.08406,59.8726869,-133.5296931,1194.981,      Unkown,2.8,0.5,0,0
               ,81267,43179.58372,43179.58372,59.8727947,-133.5291753,1215.757,      Unkown,1.2,-0.5,0,0
               ,81267,43180.08373,43180.08373,59.8735181,-133.5287956,1185.182,      Unkown,1.8,-3.5,0,0
               ,81267,43180.58375,43180.58375,59.8722519,-133.5297272,1205.769,      Unkown,1,-7.5,0,0
               ,81267,43181.08373,43181.08373,59.8741561,-133.5285947,1204.032,      Unkown,1.4,-3.5,0,0
               ,81267,43181.58372,43181.58372,59.8750289,-133.5290789,1225.067,      Unkown,0.8,-9,0,0
               ,81267,43182.08372,43182.08372,59.8746008,-133.5285917,1220.371,      Unkown,1.4,-5.5,0,0
               ,81267,43182.58372,43182.58372,59.8745192,-133.5284131,1196.746,      Unkown,4,-7,0,0
               ,81267,43183.58374,43183.58374,59.8717011,-133.5114394,963.899,      Unkown,1.2,-12.5,0,0
               ,81267,43184.0841,43184.0841,59.8711719,-133.5144694,589.983,      Unkown,3.6,-7,0,0
               ,81267,43184.58365,43184.58365,59.8752394,-133.5243336,1166.365,      Unkown,1.8,-17.5,0,0
               ,81267,43185.08372,43185.08372,59.8742281,-133.5245661,1158.922,      Unkown,1,-10.5,0,0
               ,81267,43185.58372,43185.58372,59.8741769,-133.5248483,1168.013,      Unkown,1.8,-16,0,0
               ,81267,43186.08406,43186.08406,59.8718361,-133.5252881,1147.106,      Unkown,3.6,-4.5,0,0
               ,81267,43186.58372,43186.58372,59.8729289,-133.5274444,1181.648,      Unkown,0.8,-8,0,0
               ,81267,43187.08416,43187.08416,59.91044,-133.5155392,1046.672,      Unkown,2.8,0.5,0,0
