"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Wells Gray South","","17-10742","17-10742","","","","","","81293.0","150.1999969482422","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43183.0","2018.0","3.0","11.0","331074.0","5766232.0","","Potential Mortality","Deployed","Potential Mortality","","","","","","","","43547.958611111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","78.0","26.0","22.0","29.0","28.0","20.0","20.0","25.0","136.0","127.0","81.0","95.0","","","","","","","","","","","","Unsure if mortality - spatial review, last data 23/03/2019. Email alert 24-Mar-19, and mortality file 24-Mar-19.",".  ","","36.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Wells Gray South","","17-10673","17-10673","","","","","","81323.0","150.66000366210938","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43184.0","2018.0","3.0","11.0","324484.0","5760388.0","","Alive","Deployed","Active","","","","","","","","43612.750729167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","87.0","20.0","22.0","29.0","27.0","22.0","14.0","19.0","139.0","147.0","135.0","146.0","75.0","16.0","","","","","","","","","","",".  ","","277.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Groundhog","","18-11748","18-11748","","","","","","81302.0","150.42999267578125","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43183.0","2018.0","3.0","11.0","353851.0","5758462.0","","Alive","Deployed","Active","","","","","","","","43878.958553241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","87.0","25.0","25.0","28.0","20.0","13.0","18.0","16.0","137.0","145.0","133.0","153.0","87.0","27.0","25.0","26.0","29.0","15.0","15.0","23.0","111.0","138.0","79.0","",".  Animal is a recapture, so may have had a previous WLH ID. Shari's v24Sept2018 database states Unknown for previous WLHID. ","","219.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Groundhog","","17-10735","17-10735","","","","","","81316.0","150.57000732421875","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43183.0","2018.0","3.0","11.0","352286.0","5757679.0","","Alive","Deployed","Malfunction","","","","","","","","43302.750405093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0","84.0","27.0","23.0","18.0","","","","","","","","","","","","","","","","","","","","",".  2018-Dec animal alive, but GPS not transmitting.","","260.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Groundhog","","17-10743","17-10743","","","","","","81342.0","150.9199981689453","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43183.0","2018.0","3.0","11.0","353724.0","5760358.0","","Alive","Deployed","Malfunction","","","","","","","","43424.750381944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0","85.0","25.0","24.0","25.0","20.0","18.0","15.0","12.0","","","","","","","","","","","","","","","","",".  2018-Dec animal alive, but GPS not transmitting.","","392.0"
"Thompson","Ernst Bevan","","","","Wolf","","","","","","","","","","","101733.0","150.2899932861328","N","N","GPS","Lotek","Globalstar Track Pro LC","Globalstar","43529.0","2019.0","3.0","","","","","Alive","Deployed","Active","","","","","","","","43879.708715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0","2.0","","2.0","8.0","18.0","22.0","17.0","11.0","18.0","25.0","20.0","","Collar testing in 2018?","20190829: Spatial check. Device first in field 05/03/2019. In Kamloops Mar 3-6, 2018 (testing?).","60.0"
"Thompson","Ernst Bevan","","","","Wolf","","","Wells Gray South-Groundhog","","","","","","","","101737.0","150.3800048828125","N","N","GPS","Lotek","Globalstar Track Pro LC","Globalstar","43531.0","2019.0","3.0","","","","","Alive","Deployed","Active","","","","","","","","43878.084143519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0","14.0","7.0","12.0","21.0","30.0","24.0","24.0","21.0","33.0","22.0","18.0","","Collar testing? (Kamloops in 2018)","20190829: Spatial check. Device first in field 07-Mar-19. In Kamloops Mar 2018.","209.0"
"Thompson","Ernst Bevan","","","","Wolf","","","Wells Gray South-Groundhog","18-11514","","M","","","","","101734.0","150.30999755859375","N","N","GPS","Lotek","Globalstar Track Pro LC","Globalstar","43166.0","2018.0","3.0","","","","","Alive","Deployed","Potential Malfunction","","","","","","","","43510.833946759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","19.0","7.0","19.0","23.0","21.0","23.0","21.0","12.0","30.0","22.0","11.0","","","","","","","","","","","","","No spatial evidence of mortality - last data 14/02/2019, Malfunction? Email alert 09-Feb-19, mortality file 13-Feb-19.",".  Mahood Lake","20190829: Spatial check. Device first in field 07/03/2018. In Kamloops 06/03/2018.","318.0"
"Thompson","Ernst Bevan","","","","Wolf","","","Wells Gray South-Groundhog","","","","","","","","101735.0","150.35000610351562","N","N","GPS","Lotek","Globalstar Track Pro LC","Globalstar","43529.0","2019.0","3.0","","","","","Alive","Deployed","Potential Mortality","","","","","","","","43838.000381944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0","9.0","7.0","9.0","10.0","8.0","17.0","15.0","14.0","18.0","5.0","","","Collar testing? (Kamloops in 2018)","20190829: Spatial check. Device first in field 05/03/2019. In Kamloops/100 Mile House Mar 2018 (testing?).","325.0"
"Thompson","Ernst Bevan","","","","Wolf","","","Wells Gray South-Groundhog","","","","","","","","101736.0","150.3699951171875","N","N","GPS","Lotek","Globalstar Track Pro LC","Globalstar","43530.0","2019.0","3.0","","","","","Alive","Deployed","Active","","","","","","","","43879.167453704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","6.0","3.0","4.0","9.0","12.0","14.0","21.0","26.0","25.0","23.0","13.0","","Collar testing? (Kamloops in 2018)","20190829: Spatial check. Device first in field 06/03/2019. In Kamloops/100 Mile House in mar 2018.","328.0"
