CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D
030929,14,060,20,50,00,-15,+58.07426,-120.62122,01.9,08,057,3
030929,14,060,21,00,26,-15,+58.07483,-120.62199,01.4,08,023,3
030929,14,061,09,02,25,-19,+58.07597,-120.62168,01.2,07,052,3
030929,14,061,21,02,29,-13,+58.08150,-120.61668,00.9,09,052,3
030929,14,062,09,02,06,-15,+58.08097,-120.62303,01.1,07,052,3
030929,14,062,21,02,05,-09,+58.07843,-120.62424,01.1,09,052,3
030929,14,063,09,02,19,-09,+58.07826,-120.62257,02.5,05,042,3
030929,14,063,21,02,00,-16,+58.08382,-120.61351,01.1,09,042,3
030929,14,064,09,02,01,-16,+58.07743,-120.62136,00.9,09,042,3
030929,14,064,21,02,12,-02,+58.07737,-120.62082,01.3,09,042,3
030929,14,065,09,02,07,-17,+58.07656,-120.62114,01.0,08,043,3
030929,14,065,21,02,03,-12,+58.07450,-120.62712,00.9,09,052,3
030929,14,066,09,02,15,-15,+58.07965,-120.62779,03.0,04,042,3
030929,14,066,21,02,00,-05,+58.08187,-120.62820,01.4,06,043,3
030929,14,067,09,02,04,-07,+58.08217,-120.62869,01.0,09,048,3
030929,14,067,21,02,24,-03,+58.08349,-120.63328,02.5,05,047,3
030929,14,068,09,02,06,-05,+58.08360,-120.63505,01.2,07,052,3
030929,14,068,21,02,05,+04,+58.08346,-120.63660,02.6,06,042,3
030929,14,069,09,02,20,-11,+58.07910,-120.64059,01.2,07,053,3
030929,14,069,21,02,02,+01,+58.08189,-120.64361,01.1,08,052,3
030929,14,070,09,02,15,+02,+58.08214,-120.64451,02.0,05,060,2
030929,14,070,21,02,07,+07,+58.08400,-120.64540,01.3,06,042,3
030929,14,071,09,02,04,+07,+58.08435,-120.64704,01.6,04,043,3
030929,14,071,21,02,18,+06,+58.08292,-120.65599,01.6,05,042,3
030929,14,072,09,02,01,+04,+58.08331,-120.65631,02.7,06,052,3
030929,14,072,21,02,01,+02,+58.08386,-120.65717,01.1,06,042,3
030929,14,073,09,02,12,+04,+58.08285,-120.65606,02.6,05,049,3
030929,14,074,09,04,18,+01,+58.08470,-120.64564,02.0,05,053,3
030929,14,074,21,02,00,+05,+58.09223,-120.60522,01.1,07,042,3
030929,14,075,09,02,13,+02,+58.09050,-120.59900,01.2,08,057,3
030929,14,075,21,02,07,+07,+58.09839,-120.58598,01.0,06,060,2
030929,14,076,09,02,00,+05,+58.09870,-120.58289,01.0,08,047,3
030929,14,076,21,02,00,+03,+58.09510,-120.58281,01.1,07,047,3
030929,14,077,09,02,13,+03,+58.09667,-120.58605,00.9,09,052,3
030929,14,077,21,02,09,+07,+58.09740,-120.57058,01.0,07,037,3
030929,14,078,21,04,19,-02,+58.08638,-120.63138,03.1,04,047,3
030929,14,079,09,02,30,-05,+58.08889,-120.63739,03.3,03,060,2
030929,14,079,21,02,15,-04,+58.08731,-120.64385,01.3,05,047,3
030929,14,080,09,02,17,-07,+58.08797,-120.64056,02.0,04,042,3
030929,14,080,21,02,02,-08,+58.08559,-120.64433,01.2,06,043,3
030929,14,081,09,02,38,-09,+58.08712,-120.64177,02.3,04,058,3
030929,14,081,21,02,17,-02,+58.09292,-120.63950,01.4,07,042,3
030929,14,082,21,04,11,+02,+58.09419,-120.62630,02.1,04,052,3
030929,14,083,09,02,40,-15,+58.09353,-120.62377,02.2,05,042,3
030929,14,083,21,02,32,-09,+58.13812,-120.67221,02.0,05,056,3
030929,14,084,21,04,03,-04,+58.19275,-120.68753,01.6,05,057,3
030929,14,085,09,02,00,-09,+58.19171,-120.68289,00.0,00,060,3
030929,14,085,21,02,29,-08,+58.19549,-120.66416,02.5,07,042,3
030929,14,086,09,02,13,-05,+58.19296,-120.66043,01.4,07,052,3
030929,14,087,09,04,01,-05,+58.17806,-120.64485,01.3,06,060,2
