    Device Name, Device ID,     Date & Time [GMT],   Date & Time [Local],    Latitude,   Longitude,  Altitude,  Fix Status,  DOP, Temp [C], Main [V], Back [V]
               ,    101891,       43190.167071759,       43190.167071759,  51.5105914,-118.3614761,   636.343,      Unkown,  2.2,      0.0,     0.00,     0.00
               ,    101891,       43190.708946759,       43190.708946759,  51.5104236,-118.3610200,   676.720,      Unkown,  2.0,     -2.5,     0.00,     0.00
               ,    101891,       43191.250821759,       43191.250821759,  51.5101772,-118.3605994,   671.687,      Unkown,  8.4,      0.0,     0.00,     0.00
               ,    101891,       43191.792048611,       43191.792048611,  51.5104594,-118.3607567,   678.658,      Unkown,  3.0,      0.0,     0.00,     0.00
               ,    101891,       43195.584155093,       43195.584155093,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,     -1.5,     0.00,     0.00
               ,    101891,       43196.125821759,       43196.125821759,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,      2.5,     0.00,     0.00
               ,    101891,       43206.959131944,       43206.959131944,  51.5181431,-118.3427300,   858.724,      Unkown,  2.6,      2.5,     0.00,     0.00
               ,    101891,       43207.500405093,       43207.500405093,  51.5170625,-118.3405278,   770.335,      Unkown,  1.6,     -0.5,     0.00,     0.00
               ,    101891,       43208.042488426,       43208.042488426,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,      1.5,     0.00,     0.00
               ,    101891,       43208.583738426,       43208.583738426,  51.5172647,-118.3441900,   816.333,      Unkown,  1.8,      0.0,     0.00,     0.00
               ,    101891,       43221.042488426,       43221.042488426,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,      6.5,     0.00,     0.00
               ,    101891,       43221.583946759,       43221.583946759,  51.5223350,-118.3193558,   711.518,      Unkown,  3.6,      2.5,     0.00,     0.00
               ,    101891,       43224.292453704,       43224.292453704,  51.5226894,-118.3185675,   721.051,      Unkown,  4.0,      6.5,     0.00,     0.00
               ,    101891,       43224.833402778,       43224.833402778,  51.5220144,-118.3194719,   690.049,      Unkown,  3.0,     12.5,     0.00,     0.00
               ,    101891,       43228.625821759,       43228.625821759,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,      7.0,     0.00,     0.00
               ,    101891,       43229.167488426,       43229.167488426,   0.0000000,   0.0000000,     0.000,     No Sats,  0.0,      5.5,     0.00,     0.00
